date,home_team,away_team,home_team_prob,odds_home,odds_away,result_raw,source_file,source_file_date,game_key,actual_winner,actual_game_played,actual_home_win,model_selected_side,model_selected_team,model_correct,model_odds,model_pnl_flat_100,model_roi_pct_flat_100,pregame_snapshot_file,pregame_snapshot_path,pregame_snapshot_source_date,pregame_snapshot_source_type,pregame_engine_state,pregame_params_used_json,pregame_shortlist_membership,pregame_watchlist_membership,pregame_blocked_by,pregame_model_market_gap,pregame_EV_€_per_100,pregame_prob_used,pregame_odds_1,pregame_odds_2,pregame_prob_live_oos_proxy,pregame_prob_iso_oos_time,pregame_live_oos_proxy_ready,pregame_live_oos_proxy_used,pregame_live_oos_proxy_train_rows,pregame_live_oos_proxy_bin_n,pregame_live_oos_proxy_bin_winrate,pregame_qualitative_vibe_notes,script11_artifact_file,script11_artifact_path,script11_artifact_source_date,script11_engine_state,script11_decision,script11_stage2_candidate_type,script11_blocked_by,script11_rules_passed,script11_ev_per_100,script11_prob_used,script11_odds_1,script11_home_win_rate,script11_pass_hw,script11_pass_odds,script11_pass_prob,script11_pass_ev,script11_canonical_signal,script11_allowed_review_type,script11_source,script11_params_chosen,legacy_strategy_qualified,canonical_model_bet,decision_bucket,strategy_qualified,user_bet_placed,user_bets_settled,user_bet_side,user_bet_team,user_bet_market,user_bet_odds,user_stake,user_won,user_pnl,pregame_snapshot_available,user_bet_aligned_with_model,user_bet_outside_model,user_skipped_model_bet,user_correctly_skipped_watch_only,user_bet_has_pnl,user_bet_has_result
2026-05-18,OKC,SAS,0.5261374567095911,1.41,3.0,SAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-18|OKC|SAS,SAS,True,False,HOME,OKC,0.0,1.41,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LOW_PRICE_NEGATIVE_EV,EV<=0.00,3.0,-9.782414818786878,0.6398410296539938,1.41,0.75,1.0,1.0,1.0,0.0,,ev_only_skip,watchlist,NO_BET,True,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-17,DET,CLE,0.6408278423179323,1.56,2.5,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-17|DET|CLE,CLE,True,False,HOME,DET,0.0,1.56,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LOW_PRICE_NEGATIVE_EV,EV<=0.00,3.0,-5.1093937232922935,0.6082731171583827,1.56,0.6,1.0,1.0,1.0,0.0,,ev_only_skip,watchlist,NO_BET,True,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-15,CLE,DET,0.6188057090201048,1.57,2.45,DET,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-15|CLE|DET,DET,True,False,HOME,CLE,0.0,1.57,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LOW_PRICE_NEGATIVE_EV,EV<=0.00,3.0,-5.600142748145354,0.6012729761264627,1.57,0.9,1.0,1.0,1.0,0.0,,ev_only_skip,watchlist,NO_BET,True,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-15,MIN,SAS,0.5094336907913627,2.6,1.52,SAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-15|MIN|SAS,SAS,True,False,HOME,MIN,0.0,2.6,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LIVE_WATCH_ONLY,Prob<0.55,3.0,3.1322591922565923,0.396662535354833,2.6,0.62,1.0,1.0,0.0,1.0,,live_watch_only,watchlist,NO_BET,False,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-13,DET,CLE,0.504711586553746,1.56,2.5,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-13|DET|CLE,CLE,True,False,HOME,DET,0.0,1.56,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LOW_PRICE_NEGATIVE_EV,EV<=0.00,3.0,-7.867240798446595,0.590594610266368,1.56,0.73,1.0,1.0,1.0,0.0,,ev_only_skip,watchlist,NO_BET,True,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-12,SAS,MIN,0.688506195469906,1.26,4.0,SAS,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-12|SAS|MIN,SAS,True,True,HOME,SAS,1.0,1.26,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,NO_VALUE_SKIP,Odds<1.30 | EV<=0.00,2.0,-12.189700980976376,0.6969071350716161,1.26,0.5,1.0,0.0,1.0,0.0,,discipline_skip,watchlist,NO_BET,False,False,NO_BET_EV_FAIL,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-05-11,CLE,DET,0.4399901887167364,1.6,2.4,CLE,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-11|CLE|DET,CLE,True,True,AWAY,DET,0.0,2.4,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LOW_PRICE_NEGATIVE_EV,EV<=0.00,3.0,-7.947790319334952,0.5753263105041565,1.6,0.9,1.0,1.0,1.0,0.0,,ev_only_skip,watchlist,NO_BET,True,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-11,LAL,OKC,0.3456049183938138,4.9,1.19,OKC,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-11|LAL|OKC,OKC,True,False,AWAY,OKC,1.0,1.19,18.999999999999993,18.999999999999993,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LIVE_WATCH_ONLY,Odds>3.40 | Prob<0.55,2.0,71.5,0.35,4.9,0.64,1.0,0.0,0.0,1.0,,live_watch_only,watchlist,NO_BET,False,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,False,False,False
2026-05-10,MIN,SAS,0.4613955176779204,2.6,1.52,MIN,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-10|MIN|SAS,MIN,True,True,AWAY,SAS,0.0,1.52,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,LIVE_WATCH_ONLY,Prob<0.55,3.0,3.467304832618634,0.3979511724331485,2.6,0.56,1.0,1.0,0.0,1.0,,live_watch_only,watchlist,NO_BET,False,False,WATCH_ONLY_3_OF_4,False,False,False,,,,,,,,False,False,False,False,True,False,False
2026-05-10,PHI,NYK,0.4201925920983141,2.0,1.83,NYK,combined_nba_predictions_acc_2026-05-19.csv,2026-05-19,2026-05-10|PHI|NYK,NYK,True,False,AWAY,NYK,1.0,1.83,83.0,83.0,,,,,,,,,,,,,,,,,,,,,,,script11_watchlist_history.csv,/Users/alexanderrazmyslov/1. Python/1. NBA Script/2026/LightGBM/script11_watchlist_history.csv,,NO_BET,NO_BET,NO_VALUE_SKIP,HWR<0.50 | Prob<0.55 | EV<=0.00,1.0,-10.237470122171556,0.4488126493891422,2.0,0.4,0.0,1.0,0.0,0.0,,discipline_skip,watchlist,NO_BET,False,False,NO_BET_EV_FAIL,False,False,False,,,,,,,,False,False,False,False,False,False,False
