date,home_team,away_team,stake,odds,pick,status,won,pnl,prob_used,prob_base,prob_live_oos_proxy,prob_live_safe_pre_clip,market_implied_p_raw,market_implied_p_devig,model_market_gap,model_market_gap_flag,live_underdog_upscale_guard_triggered,live_shrink_triggered,live_oos_proxy_ready,live_oos_proxy_train_rows,live_oos_proxy_bin_n,live_oos_proxy_bin_winrate,blocked_by,ev_per_100,created_at_utc,settled_at_utc,source
2025-12-01,LAL,PHO,100.0,1.51,HOME,SETTLED,0.0,-100.0,0.75,,,,,,,,,,,,,,,13.25,,2026-03-15T21:38:52.669150+00:00,
2025-12-02,BOS,NYK,100.0,1.89,HOME,SETTLED,1.0,88.99999999999999,0.7272727272727273,,,,,,,,,,,,,,,37.45454545454545,,2025-12-02,
2025-12-02,TOR,POR,100.0,1.46,HOME,SETTLED,1.0,46.0,0.7058823529411765,,,,,,,,,,,,,,,3.0588235294117694,,2025-12-02,
2025-12-03,ATL,LAC,100.0,1.62,HOME,SETTLED,0.0,-100.0,0.6585365853658537,,,,,,,,,,,,,,,6.682926829268304,,2025-12-03,
2025-12-04,TOR,LAL,100.0,1.7,HOME,SETTLED,0.0,-100.0,0.7058823529411765,,,,,,,,,,,,,,,20.000000000000007,,2025-12-04,
2025-12-05,CLE,SAS,100.0,1.6,HOME,SETTLED,1.0,60.00000000000001,0.7307692307692307,,,,,,,,,,,,,,,16.923076923076923,,2025-12-05,
2025-12-05,ORL,MIA,100.0,1.46,HOME,SETTLED,1.0,46.0,0.7307692307692307,,,,,,,,,,,,,,,6.692307692307681,,2025-12-05,
2025-12-07,NYK,ORL,100.0,1.62,HOME,SETTLED,1.0,62.000000000000014,0.75,,,,,,,,,,,,,,,21.500000000000007,,2025-12-07,
2025-12-09,ORL,MIA,100.0,1.89,HOME,SETTLED,1.0,88.99999999999999,0.75,,,,,,,,,,,,,,,41.75,,2025-12-09,
2025-12-13,ORL,NYK,100.0,2.64,HOME,SETTLED,0.0,-100.0,0.5,,,,,,,,,,,,,,,32.00000000000001,,2025-12-13,
2025-12-15,BOS,DET,100.0,1.82,HOME,SETTLED,0.0,-100.0,0.6730769230769231,,,,,,,,,,,,,,,22.500000000000007,,2025-12-15,
2025-12-19,NYK,PHI,100.0,1.54,HOME,SETTLED,0.0,-100.0,0.7222222222222222,,,,,,,,,,,,,,,11.22222222222222,,2025-12-19,
2025-12-20,PHI,DAL,100.0,1.65,HOME,SETTLED,1.0,64.99999999999999,0.6923076923076923,,,,,,,,,,,,,,,14.23076923076922,,2025-12-20,
2025-12-25,LAL,HOU,100.0,2.1,HOME,SETTLED,0.0,-100.0,0.5,,,,,,,,,,,,,,,12.00000000000001,,2025-12-25,
2025-12-27,HOU,CLE,100.0,1.57,HOME,SETTLED,1.0,57.00000000000001,0.6883116883116883,,,,,,,,,,,,,,,8.064935064935069,,2025-12-27,
2025-12-27,ORL,DEN,100.0,2.6,HOME,SETTLED,1.0,160.0,0.4513274336283185,,,,,,,,,,,,,,,17.345132743362836,,2025-12-27,
2025-12-28,TOR,GSW,100.0,2.54,HOME,SETTLED,1.0,154.0,0.4566929133858268,,,,,,,,,,,,,,,16.000000000000014,,2025-12-28,
2025-12-29,CHO,MIL,100.0,2.36,HOME,SETTLED,0.0,-100.0,0.4609375,,,,,,,,,,,,,,,8.781249999999996,,2025-12-29,
2025-12-29,MIA,DEN,100.0,2.14,HOME,SETTLED,1.0,114.0,0.4609375,,,,,,,,,,,,,,,-1.359374999999996,,2025-12-29,
